lightsalmon	#FFA07A	rgb(255,160,122)
salmon	#FA8072	rgb(250,128,114)
darksalmon	#E9967A	rgb(233,150,122)
lightcoral	#F08080	rgb(240,128,128)
indianred	#CD5C5C	rgb(205,92,92)
crimson	#DC143C	rgb(220,20,60)
firebrick	#B22222	rgb(178,34,34)
red	#FF0000	rgb(255,0,0)
darkred	#8B0000	rgb(139,0,0)
coral	#FF7F50	rgb(255,127,80)
tomato	#FF6347	rgb(255,99,71)
orangered	#FF4500	rgb(255,69,0)
gold	#FFD700	rgb(255,215,0)
orange	#FFA500	rgb(255,165,0)
darkorange	#FF8C00	rgb(255,140,0)
lightyellow	#FFFFE0	rgb(255,255,224)
lemonchiffon	#FFFACD	rgb(255,250,205)
lightgoldenrodyellow	#FAFAD2	rgb(250,250,210)
papayawhip	#FFEFD5	rgb(255,239,213)
moccasin	#FFE4B5	rgb(255,228,181)
peachpuff	#FFDAB9	rgb(255,218,185)
palegoldenrod	#EEE8AA	rgb(238,232,170)
khaki	#F0E68C	rgb(240,230,140)
darkkhaki	#BDB76B	rgb(189,183,107)
yellow	#FFFF00	rgb(255,255,0)
lawngreen	#7CFC00	rgb(124,252,0)
chartreuse	#7FFF00	rgb(127,255,0)
limegreen	#32CD32	rgb(50,205,50)
lime	#00FF00	rgb(0,255,0)
forestgreen	#228B22	rgb(34,139,34)
green	#008000	rgb(0,128,0)
darkgreen	#006400	rgb(0,100,0)
greenyellow	#ADFF2F	rgb(173,255,47)
yellowgreen	#9ACD32	rgb(154,205,50)
springgreen	#00FF7F	rgb(0,255,127)
mediumspringgreen	#00FA9A	rgb(0,250,154)
lightgreen	#90EE90	rgb(144,238,144)
palegreen	#98FB98	rgb(152,251,152)
darkseagreen	#8FBC8F	rgb(143,188,143)
mediumseagreen	#3CB371	rgb(60,179,113)
seagreen	#2E8B57	rgb(46,139,87)
olive	#808000	rgb(128,128,0)
darkolivegreen	#556B2F	rgb(85,107,47)
olivedrab	#6B8E23	rgb(107,142,35)
lightcyan	#E0FFFF	rgb(224,255,255)
cyan	#00FFFF	rgb(0,255,255)
aqua	#00FFFF	rgb(0,255,255)
aquamarine	#7FFFD4	rgb(127,255,212)
mediumaquamarine	#66CDAA	rgb(102,205,170)
paleturquoise	#AFEEEE	rgb(175,238,238)
